bedrooms,bathrooms,sqft_lot,floors,view,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,price_log,sqft_living_log,property_age
2,1.0,5650,1.0,0,7,1180,0,1340,5650,12.351475171599722,7.074116816197362,60
3,2.25,7242,2.0,0,7,2170,400,1690,7639,13.195615697878253,7.852050207265889,24
2,1.0,10000,1.0,0,6,770,0,2720,8062,12.100717685412471,6.647688373563329,82
4,3.0,5000,1.0,0,7,1050,910,1360,5000,13.311331132544721,7.581209826196346,50
3,2.0,8080,1.0,0,8,1680,0,1800,7503,13.1421679654829,7.427144133408616,28
4,4.5,101930,1.0,0,11,3890,1530,4760,101930,14.018452218287162,8.598035579260339,14
3,2.25,6819,2.0,0,7,1715,0,2238,6819,12.458778882573533,7.447751280047908,20
3,1.5,9711,1.0,0,7,1060,0,1650,9711,12.583998677043747,6.966967138613983,52
3,1.0,7470,1.0,0,7,1050,730,1780,8113,12.343662665771719,7.484930283289661,55
3,2.5,6560,2.0,0,7,1890,0,2390,7570,12.685410698175234,7.544861068658458,12
3,2.5,9796,1.0,0,8,1860,1700,2210,8925,13.403777346275337,8.177796683277778,50
2,1.0,6000,1.0,0,7,860,300,1330,6000,13.056225711649638,7.057036981697891,73
3,1.0,19901,1.5,0,7,1430,0,1780,12697,12.644330802262578,7.266128779556451,88
3,1.75,9680,1.0,0,7,1370,0,1370,10208,12.899222326086994,7.223295679562314,38
5,2.0,4850,1.5,0,7,1810,0,1360,4850,13.180634172318978,7.501634457883413,115
4,3.0,5000,2.0,3,9,1980,970,2140,4000,13.384729180332174,7.989899374942939,36
3,2.0,14040,2.0,0,7,1890,0,1890,14018,12.886643575525625,7.544861068658458,21
4,1.0,4300,1.5,0,7,1600,0,1610,4300,13.091906231773164,7.3783837129967145,99
2,1.0,9850,1.0,0,7,1200,0,1060,5095,12.149507585033072,7.0909098220799835,94
3,1.0,9774,1.0,0,7,1250,0,1280,8850,12.345838935721968,7.1316985104669115,46
4,1.75,4980,1.0,0,7,860,760,1400,4980,12.861001210669146,7.390798521735676,68
3,2.75,44867,1.0,4,9,2330,720,4110,20336,14.508658238524095,8.02322468471667,47
5,2.5,6300,2.0,0,8,2270,0,2240,7005,12.560247968016562,7.7279755421055585,20
