bedrooms,bathrooms,sqft_living_log,sqft_lot,floors,view,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,property_age
3,1.75,7.484930283289661,13095,1.0,0,9,1780,0,2750,13095,32
2,1.0,6.90875477931522,3700,1.0,0,6,800,200,1270,5000,86
3,1.0,6.985641817639208,7486,1.5,0,6,990,90,1170,7800,73
3,2.25,7.645397699428633,7500,1.0,0,7,1280,810,1800,7350,38
2,2.5,7.462789157412448,1439,2.0,0,8,1446,295,2090,10454,8
3,1.75,7.75833346749091,51836,1.5,0,8,1510,830,2060,77536,37
5,2.75,7.621195162809845,7488,1.0,0,7,1200,840,1530,7488,46
5,2.25,8.108021221376747,13138,1.0,2,9,1900,1420,2820,13138,51
3,1.75,7.473637108496206,8400,1.0,0,8,1460,300,1980,8400,55
3,2.5,7.384610383176974,5024,2.0,0,7,1610,0,1790,3717,11
3,1.75,7.0825485693553,6000,1.0,0,7,1190,0,1200,6000,0
5,3.0,7.816416983691801,7200,1.0,0,7,1560,920,1910,9432,16
3,2.0,7.237778191923443,7200,1.0,0,7,1390,0,1630,7340,19
3,1.0,6.947937068614969,8410,1.0,0,7,1040,0,1350,8410,1
5,2.75,8.000014093678072,9838,1.0,0,7,1710,1270,2240,9838,47
3,3.25,7.293697720601438,1235,2.0,0,7,1180,290,1470,1243,7
2,1.0,6.55250788703459,4800,1.0,0,7,700,0,1440,4800,93
5,3.0,8.37816098272068,37169,2.0,0,10,2950,1400,3280,41631,43
4,2.0,7.473637108496206,5500,1.0,1,7,780,980,1510,5500,11
3,1.75,7.353081920515432,5760,1.0,0,6,780,780,1320,7680,88
4,1.75,7.816416983691801,9195,1.0,0,7,1390,1090,2440,9195,65
5,2.25,7.923348211930154,6350,1.0,0,7,1380,1380,2060,6342,57
4,2.5,7.803435056952168,4949,2.0,0,9,2448,0,2815,5446,1
3,1.75,7.340186835320115,6632,1.0,0,7,1070,470,2510,6618,56
5,2.5,8.058643712215618,11470,1.0,0,9,1780,1380,3260,11470,44
4,2.75,7.565793282428515,13041,1.0,0,8,1180,750,1880,10234,35
4,2.75,8.013343181386672,7203,2.0,0,9,3020,0,3010,7215,1
5,1.75,7.828436359157585,9750,1.5,0,8,2510,0,1900,9750,46
4,1.75,7.816416983691801,14782,1.0,3,8,1460,1020,2910,10800,57
3,1.0,7.372118028337787,8160,1.0,1,7,1090,500,1540,10500,61
5,2.5,7.828436359157585,7525,1.5,0,7,1710,800,1270,6741,86
4,3.25,8.24564690087386,8519,1.0,1,10,2680,1130,3240,10748,8
4,2.5,7.550135342488429,8282,1.0,0,7,1900,0,1420,8350,18
3,1.5,7.237778191923443,11340,1.0,0,7,1390,0,1740,11340,52
4,1.5,8.004365564979574,19400,2.0,0,7,2233,760,2060,15100,94
4,1.75,7.816416983691801,11010,1.0,0,9,1630,850,2770,10744,49
4,1.75,7.273092595999522,13296,1.0,0,8,1440,0,3520,10802,48
2,1.0,7.02197642307216,12625,1.0,3,7,1120,0,1880,6828,75
4,1.75,7.645397699428633,6485,1.0,0,7,1280,810,2190,9600,59
3,2.5,7.467942332285852,3354,2.0,0,7,1750,0,1750,4286,24
4,2.25,7.664346632098617,10650,2.0,0,8,2130,0,3380,10050,38
4,3.0,7.81762544305337,5701,2.0,0,8,2483,0,2075,5720,10
3,1.75,7.252053951852814,7700,1.0,0,7,1410,0,1560,7700,48
4,1.0,7.252053951852814,7693,1.5,0,7,1410,0,1330,8395,62
4,2.5,8.019941687677365,24123,2.0,0,8,3040,0,2420,10026,16
3,2.5,7.941295570906532,4607,2.0,0,8,2810,0,2540,4871,11
4,2.5,7.923348211930154,5750,2.0,0,8,2760,0,2760,5390,22
4,2.5,8.50532301884575,10037,1.0,4,9,3450,1490,2430,9272,62
3,2.0,7.2305631534092925,5000,1.5,0,7,1380,0,1350,5000,98
3,2.5,8.02322468471667,158558,1.0,0,9,3050,0,2960,31050,28
3,1.0,6.947937068614969,4480,1.0,0,7,870,170,1730,4200,91
5,4.0,8.121777419161074,7800,2.5,2,8,2966,400,2340,6000,78
5,1.75,7.456454555176209,10368,1.0,0,7,1010,720,1730,7728,52
3,2.25,7.462214939768189,9672,1.0,0,7,1110,630,1640,9600,52
4,2.5,7.787796878181171,6440,1.0,0,8,1550,860,2330,6938,41
3,2.5,7.645397699428633,7640,1.0,0,7,1360,730,2090,7668,1
3,1.0,7.372118028337787,13000,1.5,0,6,1590,0,1460,8400,71
4,1.0,7.2868764117507,3840,1.5,0,8,1340,120,990,4200,87
2,1.0,7.266128779556451,7819,1.0,0,7,1110,320,1380,7473,71
